tick,actor_id,type,x,y,heading,velocity
0,0,car,53.028572,5.250000,3.141593,6.834348
0,1,car,38.946339,5.250000,3.141593,10.968502
0,2,car,21.239780,5.250000,3.141593,5.999749
0,3,car,49.647045,1.750000,3.141593,8.337086
0,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
0,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
0,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
0,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
1,0,car,53.028572,5.250000,3.141593,6.834348
1,1,car,38.946339,5.250000,3.141593,10.968502
1,2,car,21.239780,5.250000,3.141593,5.999749
1,3,car,49.647045,1.750000,3.141593,8.337086
1,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
1,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
1,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
1,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
2,0,car,53.028572,5.250000,3.141593,6.834348
2,1,car,38.946339,5.250000,3.141593,10.968502
2,2,car,21.239780,5.250000,3.141593,5.999749
2,3,car,49.647045,1.750000,3.141593,8.337086
2,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
2,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
2,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
2,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
3,0,car,53.028572,5.250000,3.141593,6.834348
3,1,car,38.946339,5.250000,3.141593,10.968502
3,2,car,21.239780,5.250000,3.141593,5.999749
3,3,car,49.647045,1.750000,3.141593,8.337086
3,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
3,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
3,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
3,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
4,0,car,53.028572,5.250000,3.141593,6.834348
4,1,car,38.946339,5.250000,3.141593,10.968502
4,2,car,21.239780,5.250000,3.141593,5.999749
4,3,car,49.647045,1.750000,3.141593,8.337086
4,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
4,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
4,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
4,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
5,0,car,53.028572,5.250000,3.141593,6.834348
5,1,car,38.946339,5.250000,3.141593,10.968502
5,2,car,21.239780,5.250000,3.141593,5.999749
5,3,car,49.647045,1.750000,3.141593,8.337086
5,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
5,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
5,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
5,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
6,0,car,53.028572,5.250000,3.141593,6.834348
6,1,car,38.946339,5.250000,3.141593,10.968502
6,2,car,21.239780,5.250000,3.141593,5.999749
6,3,car,49.647045,1.750000,3.141593,8.337086
6,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
6,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
6,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
6,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
7,0,car,53.028572,5.250000,3.141593,6.834348
7,1,car,38.946339,5.250000,3.141593,10.968502
7,2,car,21.239780,5.250000,3.141593,5.999749
7,3,car,49.647045,1.750000,3.141593,8.337086
7,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
7,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
7,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
7,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
8,0,car,53.028572,5.250000,3.141593,6.834348
8,1,car,38.946339,5.250000,3.141593,10.968502
8,2,car,21.239780,5.250000,3.141593,5.999749
8,3,car,49.647045,1.750000,3.141593,8.337086
8,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
8,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
8,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
8,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
9,0,car,53.028572,5.250000,3.141593,6.834348
9,1,car,38.946339,5.250000,3.141593,10.968502
9,2,car,21.239780,5.250000,3.141593,5.999749
9,3,car,49.647045,1.750000,3.141593,8.337086
9,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
9,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
9,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
9,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
10,0,car,53.028572,5.250000,3.141593,6.834348
10,1,car,38.946339,5.250000,3.141593,10.968502
10,2,car,21.239780,5.250000,3.141593,5.999749
10,3,car,49.647045,1.750000,3.141593,8.337086
10,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
10,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
10,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
10,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
11,0,car,53.028572,5.250000,3.141593,6.834348
11,1,car,38.946339,5.250000,3.141593,10.968502
11,2,car,21.239780,5.250000,3.141593,5.999749
11,3,car,49.647045,1.750000,3.141593,8.337086
11,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
11,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
11,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
11,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
12,0,car,53.028572,5.250000,3.141593,6.834348
12,1,car,38.946339,5.250000,3.141593,10.968502
12,2,car,21.239780,5.250000,3.141593,5.999749
12,3,car,49.647045,1.750000,3.141593,8.337086
12,4,pedestrian,-39.284649,8.000000,3.141593,1.562109
12,5,pedestrian,-52.735706,-8.000000,0.000000,0.584617
12,6,pedestrian,8.000000,24.419863,-1.570796,1.748664
12,7,pedestrian,8.000000,-31.642696,-1.570796,0.501168
